Material,Grade,Density,TensileStrength,YieldStrength,Hardness,ElasticModulus,CostScore,CorrosionResistance,WearResistance,SustainabilityScore
ANSI Copper Alloy C15715,,8.93,359,303,239.0,108000,5.0,6.5,2.135,5.0
ANSI Copper Alloy C15720,,8.93,441,372,239.0,108000,5.0,6.5,2.436,5.0
ANSI Copper Alloy C15760,,8.93,483,448,239.0,108000,5.0,6.5,2.591,5.0
ANSI Copper Alloy C16200,,8.93,241,48,239.0,108000,5.0,6.5,1.702,5.0
ANSI Copper Alloy C16500,,8.93,276,97,239.0,108000,5.0,6.5,1.83,5.0
ANSI Copper Alloy C17000,,8.93,483,221,239.0,108000,5.0,6.5,2.591,5.0
ANSI Copper Alloy C17300,,8.93,469,172,239.0,108000,5.0,6.5,2.539,5.0
ANSI Copper Alloy C17500,,8.93,310,172,239.0,108000,5.0,6.5,1.955,5.0
ANSI Copper Alloy C18200,,8.93,234,97,239.0,108000,5.0,6.5,1.676,5.0
ANSI Copper Alloy C18900,,8.93,262,62,239.0,108000,5.0,6.5,1.779,5.0
ANSI Copper Alloy C19000,,8.93,262,138,239.0,108000,5.0,6.5,1.779,5.0
ANSI Copper Alloy C19100,,8.93,248,69,239.0,108000,5.0,6.5,1.727,5.0
ANSI Copper Alloy C19200,,8.93,255,76,239.0,108000,5.0,6.5,1.753,5.0
ANSI Copper Alloy C19400,,8.93,310,165,239.0,108000,5.0,6.5,1.955,5.0
ANSI Copper Alloy C19500,,8.93,552,448,239.0,108000,5.0,6.5,2.844,5.0
ANSI Copper Alloy C21000,,8.93,234,69,239.0,108000,5.0,6.5,1.676,5.0
ANSI Copper Alloy C40500,,8.8,269,83,239.0,105000,5.0,6.5,1.804,5.0
ANSI Copper Alloy C40800,,8.8,290,90,239.0,105000,5.0,6.5,1.882,5.0
ANSI Copper Alloy C41100,,8.8,269,76,239.0,105000,5.0,6.5,1.804,5.0
ANSI Copper Alloy C41300,,8.8,283,83,239.0,105000,5.0,6.5,1.856,5.0
ANSI Copper Alloy C41500,,8.8,317,117,239.0,105000,5.0,6.5,1.981,5.0
ANSI Copper Alloy C42200,,8.8,296,103,239.0,105000,5.0,6.5,1.904,5.0
ANSI Copper Alloy C42500,,8.8,310,124,239.0,105000,5.0,6.5,1.955,5.0
ANSI Copper Alloy C43000,,8.8,317,124,239.0,105000,5.0,6.5,1.981,5.0
ANSI Copper Alloy C43400,,8.8,310,103,239.0,105000,5.0,6.5,1.955,5.0
ANSI Copper Alloy C43500,,8.8,317,110,239.0,105000,5.0,6.5,1.981,5.0
ANSI Copper Alloy C44300,,8.8,331,124,239.0,105000,5.0,6.5,2.032,5.0
ANSI Copper Alloy C46400,,8.8,379,172,239.0,105000,5.0,6.5,2.209,5.0
ANSI Copper Alloy C48200,,8.8,386,172,239.0,105000,5.0,6.5,2.234,5.0
ANSI Copper Alloy C48500,,8.8,393,172,239.0,105000,5.0,6.5,2.26,5.0
ANSI Copper Alloy C50500,,8.8,276,97,239.0,105000,5.0,6.5,1.83,5.0
ANSI Copper Alloy C51000,,8.8,324,131,239.0,105000,5.0,6.5,2.007,5.0
ANSI Copper Alloy C51100,,8.8,317,345,239.0,105000,5.0,6.5,1.981,5.0
ANSI Copper Alloy C52100,,8.8,379,165,239.0,105000,5.0,6.5,2.209,5.0
ANSI Copper Alloy C52400,,8.8,455,193,239.0,105000,5.0,6.5,2.488,5.0
ANSI Copper Alloy C54400,,8.8,303,131,239.0,105000,5.0,6.5,1.929,5.0
ANSI Copper Alloy C60800,,8.8,414,186,239.0,105000,5.0,6.5,2.337,5.0
ANSI Copper Alloy C61000,,8.8,359,117,239.0,105000,5.0,6.5,2.135,5.0
ANSI Copper Alloy C61300,,8.8,483,207,239.0,105000,5.0,6.5,2.591,5.0
ANSI Copper Alloy C61400,,8.8,524,228,239.0,105000,5.0,6.5,2.741,5.0
ANSI Copper Alloy C61500,,8.8,483,152,239.0,105000,5.0,6.5,2.591,5.0
ANSI Copper Alloy C61800,,8.8,552,269,239.0,105000,5.0,6.5,2.844,5.0
ANSI Copper Alloy C61900,,8.8,634,338,239.0,105000,5.0,6.5,3.145,5.0
ANSI Copper Alloy C62300,,8.8,517,241,239.0,105000,5.0,6.5,2.716,5.0
ANSI Copper Alloy C62400,,8.8,621,276,239.0,105000,5.0,6.5,3.098,5.0
ANSI Copper Alloy C63000,,8.8,621,345,239.0,105000,5.0,6.5,3.098,5.0
ANSI Copper Alloy C63200,,8.8,621,310,239.0,105000,5.0,6.5,3.098,5.0
ANSI Copper Alloy C63800,,8.8,565,372,239.0,105000,5.0,6.5,2.892,5.0
ANSI Copper Alloy C64200,,8.8,517,241,239.0,105000,5.0,6.5,2.716,5.0
ANSI Copper Alloy C65100,,8.8,276,103,239.0,105000,5.0,6.5,1.83,5.0
ANSI Copper Alloy C65500,,8.8,386,145,239.0,105000,5.0,6.5,2.234,5.0
ANSI Copper Alloy C66700,,8.8,316,83,239.0,105000,5.0,6.5,1.977,5.0
ANSI Copper Alloy C67400,,8.8,483,234,239.0,105000,5.0,6.5,2.591,5.0
ANSI Copper Alloy C67500,,8.8,448,207,239.0,105000,5.0,6.5,2.462,5.0
ANSI Copper Alloy C68700,,8.8,414,186,239.0,105000,5.0,6.5,2.337,5.0
ANSI Copper Alloy C68800,,8.8,565,379,239.0,105000,5.0,6.5,2.892,5.0
ANSI Copper Alloy C69000,,8.8,565,359,239.0,105000,5.0,6.5,2.892,5.0
ANSI Copper Alloy C69400,,8.8,552,276,239.0,105000,5.0,6.5,2.844,5.0
ANSI Copper Alloy C70400,,8.8,262,276,239.0,105000,5.0,6.5,1.779,5.0
ANSI Copper Alloy C70600,,8.8,303,110,239.0,105000,5.0,6.5,1.929,5.0
ANSI Copper Alloy C71000,,8.8,338,90,239.0,105000,5.0,6.5,2.058,5.0
ANSI Copper Alloy C71500,,8.8,372,138,239.0,105000,5.0,6.5,2.183,5.0
ANSI Copper Alloy C72200,,8.8,317,124,239.0,105000,5.0,6.5,1.981,5.0
ANSI Copper Alloy C72500,,8.8,379,152,239.0,105000,5.0,6.5,2.209,5.0
ANSI Copper Alloy C73500,,8.8,345,103,239.0,105000,5.0,6.5,2.084,5.0
ANSI Copper Alloy C74500,,8.8,338,124,239.0,105000,5.0,6.5,2.058,5.0
ANSI Copper Alloy C75200,,8.8,386,172,239.0,105000,5.0,6.5,2.234,5.0
ANSI Copper Alloy C75400,,8.8,365,124,239.0,105000,5.0,6.5,2.157,5.0
ANSI Copper Alloy C75700,,8.8,359,124,239.0,105000,5.0,6.5,2.135,5.0
ANSI Copper Alloy C76390,,8.8,621,586,239.0,105000,5.0,6.5,3.098,5.0
ANSI Copper Alloy C77000,,8.8,414,186,239.0,105000,5.0,6.5,2.337,5.0
ANSI Copper Alloy C78200,,8.8,365,159,239.0,105000,5.0,6.5,2.157,5.0
ANSI Copper Alloy C80100,,8.93,172,62,239.0,108000,5.0,6.5,1.448,5.0
ANSI Copper-Nickel C96200,,8.5,310,172,239.0,100000,2.0,9.0,1.955,5.0
ANSI Copper-Nickel C96300,,8.5,517,379,239.0,100000,2.0,9.0,2.716,5.0
ANSI Copper-Nickel C96400,,8.5,469,255,239.0,100000,2.0,9.0,2.539,5.0
ANSI Copper-Nickel C96600,,8.5,758,483,239.0,100000,2.0,9.0,3.601,5.0
ANSI Grey cast iron class 20,,7.16,138,138,220.0,80000,7.0,3.5,1.323,4.5
ANSI Grey cast iron class 25,,7.16,172,172,220.0,98000,7.0,3.5,1.448,4.5
ANSI Grey cast iron class 30,,7.16,207,207,220.0,100000,7.0,3.5,1.577,4.5
ANSI Grey cast iron class 35,,7.16,241,241,220.0,110000,7.0,3.5,1.702,4.5
ANSI Grey cast iron class 40,,7.16,276,276,220.0,117000,7.0,3.5,1.83,4.5
ANSI Grey cast iron class 50,,7.16,345,345,220.0,124000,7.0,3.5,2.084,4.5
ANSI Grey cast iron class 60,,7.16,414,414,220.0,137000,7.0,3.5,2.337,4.5
ANSI High Leaded Tin Bronze C93200,,8.8,241,124,239.0,120000,5.0,7.5,1.702,5.0
ANSI High Leaded Tin Bronze C93400,,8.8,221,110,239.0,120000,5.0,7.5,1.628,5.0
ANSI High Leaded Tin Bronze C93500,,8.8,221,110,239.0,120000,5.0,7.5,1.628,5.0
ANSI High Leaded Tin Bronze C93700,,8.8,241,124,239.0,120000,5.0,7.5,1.702,5.0
ANSI High Leaded Tin Bronze C93800,,8.8,207,110,239.0,120000,5.0,7.5,1.577,5.0
ANSI High Leaded Tin Bronze C93900,,8.8,221,152,239.0,120000,5.0,7.5,1.628,5.0
ANSI High Leaded Tin Bronze C94300,,8.8,186,90,239.0,120000,5.0,7.5,1.5,5.0
ANSI High Leaded Tin Bronze C94400,,8.8,221,110,239.0,120000,5.0,7.5,1.628,5.0
ANSI High Leaded Tin Bronze C94500,,8.8,172,83,239.0,120000,5.0,7.5,1.448,5.0
ANSI High-Copper Alloy C81300,,8.93,365,248,239.0,108000,5.0,6.5,2.157,5.0
ANSI High-Copper Alloy C81500,,8.93,352,276,239.0,108000,5.0,6.5,2.109,5.0
ANSI High-Copper Alloy C81700,,8.93,634,469,239.0,108000,5.0,6.5,3.145,5.0
ANSI High-leaded brass C34200,,8.8,338,117,239.0,105000,5.0,6.5,2.058,5.0
ANSI Leaded Tin Bronze C92200,,8.8,276,138,239.0,120000,5.0,7.5,1.83,5.0
ANSI Leaded Tin Bronze C92300,,8.8,276,138,239.0,120000,5.0,7.5,1.83,5.0
ANSI Leaded Tin Bronze C92500,,8.8,303,138,239.0,120000,5.0,7.5,1.929,5.0
ANSI Leaded Tin Bronze C92600,,8.8,303,138,239.0,120000,5.0,7.5,1.929,5.0
ANSI Leaded Tin Bronze C92700,,8.8,290,145,239.0,120000,5.0,7.5,1.882,5.0
ANSI Leaded Tin Bronze C92800,,8.8,276,207,239.0,120000,5.0,7.5,1.83,5.0
ANSI Leaded Tin Bronze C92900,,8.8,324,179,239.0,120000,5.0,7.5,2.007,5.0
ANSI Leaded commercial bronze C31400,,8.8,255,83,239.0,105000,5.0,7.5,1.753,5.0
ANSI Low brass C24000,,8.8,290,83,239.0,105000,5.0,6.5,1.882,5.0
ANSI Low-leaded brass C33000,,8.8,324,103,239.0,105000,5.0,6.5,2.007,5.0
ANSI Magnesium Alloy AM100A-T61 sand,casting,1.75,276,152,239.0,73000,5.0,5.0,1.83,8.0
ANSI Magnesium Alloy AM60A-F pressure die,casting,1.75,221,131,239.0,73000,5.0,5.0,1.628,8.0
ANSI Magnesium Alloy AM60B-F pressure die,casting,1.75,221,131,239.0,73000,5.0,5.0,1.628,8.0
ANSI Magnesium Alloy AS41A-F pressure die,casting,1.75,214,138,239.0,73000,5.0,5.0,1.602,8.0
ANSI Magnesium Alloy AZ31B-H24,,1.75,290,221,239.0,73000,5.0,5.0,1.882,8.0
ANSI Magnesium Alloy AZ31C-H24,,1.75,290,221,239.0,73000,5.0,5.0,1.882,8.0
ANSI Magnesium Alloy AZ63A-T6 sand,casting,1.75,276,97,239.0,73000,5.0,5.0,1.83,8.0
ANSI Magnesium Alloy AZ81A-T4 sand,casting,1.75,276,83,239.0,73000,5.0,5.0,1.83,8.0
ANSI Magnesium Alloy AZ91A-F pressure die,casting,1.75,234,159,239.0,73000,5.0,5.0,1.676,8.0
ANSI Magnesium Alloy AZ91B-FAZ91B-F pressure die,casting,1.75,234,159,239.0,73000,5.0,5.0,1.676,8.0
ANSI Magnesium Alloy AZ91C-T6 sand,casting,1.75,276,145,239.0,73000,5.0,5.0,1.83,8.0
ANSI Magnesium Alloy AZ91D-F pressure die,casting,1.75,234,159,239.0,73000,5.0,5.0,1.676,8.0
ANSI Magnesium Alloy AZ91E-T6 sand,casting,1.75,276,145,239.0,73000,5.0,5.0,1.83,8.0
ANSI Magnesium Alloy AZ92A-T6 sand,casting,1.75,276,152,239.0,73000,5.0,5.0,1.83,8.0
ANSI Magnesium Alloy EZ33A-T5 sand,casting,1.75,159,110,239.0,73000,5.0,5.0,1.4,8.0
ANSI Magnesium Alloy HK31A-H24,,1.75,262,207,239.0,73000,5.0,5.0,1.779,8.0
ANSI Magnesium Alloy HK31A-T6 sand,casting,1.75,221,103,239.0,73000,5.0,5.0,1.628,8.0
ANSI Magnesium Alloy HM21A-T8,,1.75,234,172,239.0,73000,5.0,5.0,1.676,8.0
ANSI Magnesium Alloy HZ32A-T6 sand,casting,1.75,186,90,239.0,73000,5.0,5.0,1.5,8.0
ANSI Magnesium Alloy K1A-F sand,casting,1.75,179,55,239.0,73000,5.0,5.0,1.474,8.0
ANSI Magnesium Alloy QE22A-T6 sand,casting,1.75,262,193,239.0,73000,5.0,5.0,1.779,8.0
ANSI Magnesium Alloy QH21A-T6 sand,casting,1.75,276,207,239.0,73000,5.0,5.0,1.83,8.0
ANSI Magnesium Alloy WE54A-F sand,casting,1.75,276,200,239.0,73000,5.0,5.0,1.83,8.0
ANSI Magnesium Alloy ZE41A-T5 sand,casting,1.75,207,138,239.0,73000,5.0,5.0,1.577,8.0
ANSI Magnesium Alloy ZE63A-T6 sand,casting,1.75,303,193,239.0,73000,5.0,5.0,1.929,8.0
ANSI Magnesium Alloy ZH62A-T5 sand,casting,1.75,241,152,239.0,73000,5.0,5.0,1.702,8.0
ANSI Magnesium Alloy ZK51A-T5 sand,casting,1.75,207,138,239.0,73000,5.0,5.0,1.577,8.0
ANSI Magnesium Alloy ZK61A-T6 sand,casting,1.75,310,193,239.0,73000,5.0,5.0,1.955,8.0
ANSI Malleable cast iron,,7.16,276,207,220.0,172000,7.0,3.5,1.83,4.5
ANSI Malleable cast iron,,7.16,414,317,220.0,172000,7.0,3.5,2.337,4.5
ANSI Malleable cast iron,,7.16,552,427,220.0,172000,7.0,3.5,2.844,4.5
ANSI Malleable cast iron,,7.16,689,538,220.0,172000,7.0,3.5,3.347,4.5
ANSI Manganese Bronze C86100,,8.8,655,345,239.0,120000,5.0,7.5,3.222,5.0
ANSI Manganese Bronze C86200,,8.8,655,331,239.0,120000,5.0,7.5,3.222,5.0
ANSI Manganese Bronze C86300,,8.8,793,572,239.0,120000,5.0,7.5,3.729,5.0
ANSI Manganese Bronze C86400,,8.8,448,172,239.0,120000,5.0,7.5,2.462,5.0
ANSI Manganese Bronze C86500,,8.8,490,193,239.0,120000,5.0,7.5,2.616,5.0
ANSI Manganese Bronze C86700,,8.8,586,290,239.0,120000,5.0,7.5,2.969,5.0
ANSI Manganese Bronze C86800,,8.8,565,262,239.0,120000,5.0,7.5,2.892,5.0
ANSI Medium-leaded brass C35000,,8.8,310,90,239.0,105000,5.0,6.5,1.955,5.0
ANSI Muntz metal C28000,,8.8,372,145,239.0,105000,5.0,5.0,2.183,5.0
ANSI Nickel Silver C97300,,8.5,241,117,239.0,100000,2.0,9.0,1.702,4.0
ANSI Nickel Silver C97400,,8.5,262,117,239.0,100000,2.0,9.0,1.779,4.0
ANSI Nickel Silver C97600,,8.5,310,165,239.0,100000,2.0,9.0,1.955,4.0
ANSI Nickel Silver C97800,,8.5,379,207,239.0,100000,2.0,9.0,2.209,4.0
ANSI Nickel-Tin Bronze C94700,,8.8,345,159,239.0,120000,2.0,9.0,2.084,5.0
ANSI Nickel-Tin Bronze C94800,,8.8,310,159,239.0,120000,2.0,9.0,1.955,5.0
ANSI Nodular cast iron,,7.16,414,276,220.0,159000,7.0,3.5,2.337,4.5
ANSI Nodular cast iron,,7.16,552,365,220.0,159000,7.0,3.5,2.844,4.5
ANSI Nodular cast iron,,7.16,689,455,220.0,159000,7.0,3.5,3.347,4.5
ANSI Nodular cast iron,,7.16,827,552,220.0,159000,7.0,3.5,3.854,4.5
ANSI Red brass C23000,,8.8,269,69,239.0,105000,5.0,6.5,1.804,5.0
ANSI Red brass C83300,,8.5,221,69,239.0,100000,5.0,6.5,1.628,5.0
ANSI Red brass C83400,,8.5,241,69,239.0,100000,5.0,6.5,1.702,5.0
ANSI Red brass C83600,,8.5,255,117,239.0,100000,5.0,6.5,1.753,5.0
ANSI Red brass C83800,,8.5,241,110,239.0,100000,5.0,6.5,1.702,5.0
ANSI Semi-red Brass C84200,,8.5,241,97,239.0,100000,5.0,6.5,1.702,5.0
ANSI Semi-red Brass C84400,,8.5,234,97,239.0,100000,5.0,6.5,1.676,5.0
ANSI Semi-red Brass C84500,,8.5,241,97,239.0,100000,5.0,6.5,1.702,5.0
ANSI Semi-red Brass C84800,,8.5,241,97,239.0,100000,5.0,6.5,1.702,5.0
ANSI Silicon Brass C87200,,8.8,379,172,239.0,120000,5.0,6.5,2.209,5.0
ANSI Silicon Bronze C87400,,8.8,379,165,239.0,120000,5.0,7.5,2.209,5.0
ANSI Silicon Bronze C87500,,8.8,462,207,239.0,120000,5.0,7.5,2.513,5.0
ANSI Silicon Bronze C87600,,8.8,455,221,239.0,120000,5.0,7.5,2.488,5.0
ANSI Silicon Bronze C87800,,8.8,586,345,239.0,120000,5.0,7.5,2.969,5.0
ANSI Silicon Bronze C87900,,8.8,483,241,239.0,120000,5.0,7.5,2.591,5.0
ANSI Special Alloy C99300,,8.5,655,379,239.0,100000,5.0,5.0,3.222,5.0
ANSI Special Alloy C99400,,8.5,455,234,239.0,100000,5.0,5.0,2.488,5.0
ANSI Special Alloy C99500,,8.5,483,276,239.0,100000,5.0,5.0,2.591,5.0
ANSI Special Alloy C99700,,8.5,379,172,239.0,100000,5.0,5.0,2.209,5.0
ANSI Special Alloy C99750,,8.5,448,221,239.0,100000,5.0,5.0,2.462,5.0
ANSI Steel SAE 30201,1/2-hard,8.03,1034,758,207.0,193000,7.0,4.5,4.615,6.5
ANSI Steel SAE 30201,1/4-hard,8.03,862,517,207.0,193000,8.5,4.5,3.983,6.5
ANSI Steel SAE 30201,3/4-hard,8.03,1207,931,207.0,193000,7.0,4.5,5.25,7.0
ANSI Steel SAE 30201,Full-hard,8.03,1276,965,207.0,193000,7.0,4.5,5.504,7.0
ANSI Steel SAE 30202,1/4-hard,8.03,862,517,207.0,193000,8.5,4.5,3.983,6.5
ANSI Steel SAE 30301,1/2-hard,8.03,1034,758,207.0,193000,7.0,4.5,4.615,6.5
ANSI Steel SAE 30301,1/4-hard,8.03,862,517,207.0,193000,8.5,4.5,3.983,6.5
ANSI Steel SAE 30301,3/4-hard,8.03,1207,931,207.0,193000,7.0,4.5,5.25,7.0
ANSI Steel SAE 30301,Full-hard,8.03,1276,965,207.0,193000,7.0,4.5,5.504,7.0
ANSI Steel SAE 30302,1/4-hard,8.03,862,517,207.0,193000,8.5,4.5,3.983,6.5
ANSI Tin Bronze C90200,,8.8,262,110,239.0,120000,5.0,7.5,1.779,5.0
ANSI Tin Bronze C90300,,8.8,310,145,239.0,120000,5.0,7.5,1.955,5.0
ANSI Tin Bronze C90500,,8.8,310,152,239.0,120000,5.0,7.5,1.955,5.0
ANSI Tin Bronze C90700,,8.8,303,152,239.0,120000,5.0,7.5,1.929,5.0
ANSI Tin Bronze C90900,,8.8,276,138,239.0,120000,5.0,7.5,1.83,5.0
ANSI Tin Bronze C91000,,8.8,221,172,239.0,120000,5.0,7.5,1.628,5.0
ANSI Tin Bronze C91100,,8.8,241,172,239.0,120000,5.0,7.5,1.702,5.0
ANSI Tin Bronze C91300,,8.8,241,207,239.0,120000,5.0,7.5,1.702,5.0
ANSI Tin Bronze C91600,,8.8,303,152,239.0,120000,5.0,7.5,1.929,5.0
ANSI Tin Bronze C91700,,8.8,303,152,239.0,120000,5.0,7.5,1.929,5.0
ANSI Yellow Brass C85200,,8.5,262,90,239.0,100000,5.0,6.5,1.779,5.0
ANSI Yellow Brass C85400,,8.5,234,83,239.0,100000,5.0,6.5,1.676,5.0
ANSI Yellow Brass C85500,,8.5,414,159,239.0,100000,5.0,6.5,2.337,5.0
ANSI Yellow Brass C85700,,8.5,345,124,239.0,100000,5.0,6.5,2.084,5.0
ANSI Yellow Brass C85800,,8.5,379,207,239.0,100000,5.0,6.5,2.209,5.0
ANSI Yellow brass C26800,,8.8,317,97,239.0,105000,5.0,6.5,1.981,5.0
Aluminum Alloy 1060-H12,Wrought,2.7,83,76,23.0,73000,6.0,7.0,1.0,8.5
Aluminum Alloy 1060-H14,Wrought,2.7,97,90,26.0,73000,6.0,7.0,1.0,8.5
Aluminum Alloy 1060-H16,Wrought,2.7,110,103,30.0,73000,6.0,7.0,1.0,8.5
Aluminum Alloy 1060-H18,Wrought,2.7,131,124,35.0,73000,6.0,7.0,1.0,8.5
Aluminum Alloy 1060-O,Wrought,2.7,69,28,19.0,73000,6.0,7.0,1.0,8.5
Aluminum Alloy 1100-H12,Wrought,2.7,110,103,28.0,73000,6.0,7.0,1.0,8.5
Aluminum Alloy 1100-H14,Wrought,2.7,124,117,32.0,73000,6.0,7.0,1.0,8.5
Aluminum Alloy 1100-H16,Wrought,2.7,145,138,38.0,73000,6.0,7.0,1.0,8.5
Aluminum Alloy 1100-H18,Wrought,2.7,165,152,44.0,73000,6.0,7.0,1.0,8.5
Aluminum Alloy 1100-O,Wrought,2.7,90,34,23.0,73000,6.0,7.0,1.0,8.5
Aluminum Alloy 1350-H12,Wrought,2.7,97,83,63.0,73000,6.0,7.0,1.173,8.5
Aluminum Alloy 1350-H14,Wrought,2.7,110,97,63.0,73000,6.0,7.0,1.22,8.5
Aluminum Alloy 1350-H16,Wrought,2.7,124,110,63.0,73000,6.0,7.0,1.272,8.5
Aluminum Alloy 1350-H19,Wrought,2.7,186,165,63.0,73000,6.0,7.0,1.5,8.5
Aluminum Alloy 1350-O,Wrought,2.7,83,28,63.0,73000,6.0,7.0,1.121,8.5
Aluminum Alloy 201.0,Cast (T7),2.7,414,345,110.0,73000,6.0,7.0,1.831,8.5
Aluminum Alloy 2011-T3,Wrought,2.7,379,296,95.0,73000,6.0,7.0,1.623,8.5
